Year,State,value
1942,Mich.,168.3366372
1942,Minn.,567.6934636
1942,Mo.,178.6758945
1942,Miss.,0
1942,Mont.,588.5135135
1942,N.C.,564.8781171
1942,N.D.,274.0994854
1942,Neb.,428.5310734
1942,N.H.,167.1517672
1942,N.J.,322.0851757
1942,N.M,315.6374502
1942,Nev.,811.6788321
1942,N.Y.,191.2282726
1942,Ohio,127.0627063
1942,Okla.,260.8803612
1942,Ore.,499.0966576
1942,Pa.,380.3946826
1942,R.I.,609.2914439
1942,S.C.,218.2361734
1942,S.D.,143.0390492
1942,Tenn.,106.3456958
1942,Texas,517.2850544
1942,Utah,2589.043478
1942,Va.,177.6168532
1942,Vt.,1071.282799
1942,Wash.,645.6338769
1942,Wis.,781.8047822
1942,W.Va.,303.79574
1942,Wyo.,635.2589641
1943,Alaska,
1943,Ala.,130.82357
1943,Ark.,162.5881715
1943,Ariz.,172.4710983
1943,Calif.,340.0775923
1943,Colo.,976.9731136
1943,Conn.,550.390625
1943,D.C.,234.2777778
1943,Del.,564.5390071
1943,Fla.,68.60465116
1943,Ga.,126.4560863
1943,Hawaii,
1943,Iowa,242.7806341
1943,Idaho,650.9
1943,Ill.,328.4692694
1943,Ind.,263.0182662
1943,Kan.,547.8285078
1943,Ky.,383.7913108
1943,La.,106.4327485
1943,Mass.,752.1846371
1943,Md.,196.7687889
1943,Maine,298.0148883
1943,Mich.,765.1803885
1943,Minn.,398.0015522
1943,Mo.,196.099865
1943,Miss.,
1943,Mont.,1122.061856
1943,N.C.,165.9824849
1943,N.D.,798.5347985
1943,Neb.,401.0878324
1943,N.H.,211.1471861
1943,N.J.,927.141505
1943,N.M,105.7116105
1943,Nev.,397.3509934
1943,N.Y.,478.1877098
1943,Ohio,276.4269074
1943,Okla.,76.03174603
1943,Ore.,693.980344
1943,Pa.,563.1406184
1943,R.I.,296.3815789
1943,S.C.,153.7112354
1943,S.D.,507.3253833
1943,Tenn.,194.9697174
1943,Texas,233.4498003
1943,Utah,1211.251981
1943,Va.,341.3258786
1943,Vt.,2323.700306
1943,Wash.,765.0962013
1943,Wis.,1290.544127
1943,W.Va.,133.716255
1943,Wyo.,1088.663968
1944,Alaska,
1944,Ala.,252.8372591
1944,Ark.,207.4660633
1944,Ariz.,736.7213115
1944,Calif.,599.960872
1944,Colo.,556.4643799
1944,Conn.,493.503937
1944,D.C.,310.1021566
1944,Del.,138.4210526
1944,Fla.,189.7727273
1944,Ga.,171.5207809
1944,Hawaii,
