freq,nrg_bal,unit,geo\TIME_PERIOD	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,REN_HEAT_CL,PC,RS	14.027 	15.563 	15.758 	13.189 	16.73 	26.503 	23.196 	21.089 	23.205 	25.145 	28.844 	26.929 	25.079 	24.896 	24.294 	26.648 	35.68 	35.401 	34.733 
A,REN_HEAT_CL,PC,SE	45.929 	49.022 	52.496 	54.465 	55.778 	59.203 	57.07 	58.519 	60.635 	61.708 	62.566 	63.235 	63.412 	63.62 	63.301 	64.394 	66.381 	68.76 	69.392 
A,REN_HEAT_CL,PC,SI	22.824 	26.404 	24.354 	29.311 	27.527 	28.874 	29.537 	31.785 	33.146 	35.116 	34.641 	36.15 	35.563 	34.639 	32.337 	32.132 	32.141 	35.215 	33.989 
A,REN_HEAT_CL,PC,SK	5.062 	5.031 	4.451 	6.232 	6.097 	8.178 	7.898 	9.258 	8.803 	7.875 	8.865 	10.791 	9.879 	9.837 	10.599 	19.696 	19.427 	19.521 	19.922 
A,REN_HEAT_CL,PC,XK	51.857 	49.49 	48.926 	49.214 	47.794 	47.761 	45.549 	44.683 	49.341 	49.72 	51.816 	46.725 	51.785 	50.531 	56.739 	54.793 	55.888 	52.583 	47.03 
A,REN_TRA,PC,AL	0.099 	0.095 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0.203 	0.347 	0.331 	0.414 
A,REN_TRA,PC,AT	4.532 	5.07 	7.532 	8.241 	9.56 	11.175 	10.705 	10.077 	10.031 	9.695 	10.983 	11.409 	10.583 	9.703 	9.931 	10.051 	10.283 	9.471 	10.139 
A,REN_TRA,PC,BA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.456 	0.53 	0.525 	0.533 	0.439 	0.396 	0.464 	0.244 	: 
A,REN_TRA,PC,BE	0.642 	0.663 	0.676 	0.671 	0.712 	2.19 	4.8 	4.802 	4.914 	5.088 	5.845 	3.921 	6.029 	6.637 	6.709 	6.817 	11.035 	10.264 	10.354 
A,REN_TRA,PC,BG	0.971 	0.884 	1.049 	0.956 	0.938 	1.092 	1.498 	0.898 	0.65 	5.886 	5.742 	6.492 	7.203 	7.273 	8.076 	7.893 	9.101 	7.613 	7.673 
A,REN_TRA,PC,CY	0 	0 	0 	0 	1.921 	2.036 	1.994 	0 	0 	1.127 	2.68 	2.521 	2.671 	2.561 	2.661 	3.316 	7.401 	7.188 	7.216 
A,REN_TRA,PC,CZ	1.203 	1.099 	1.073 	1.048 	2.843 	4.312 	5.22 	1.285 	6.249 	6.445 	6.997 	6.537 	6.496 	6.616 	6.556 	7.841 	9.383 	7.21 	7.197 
A,REN_TRA,PC,DE	2.136 	3.953 	6.701 	7.532 	6.316 	5.877 	6.413 	6.461 	7.322 	7.299 	6.9 	6.569 	7.013 	7.028 	7.941 	7.63 	10.008 	8.088 	9.941 
A,REN_TRA,PC,DK	0.445 	0.443 	0.521 	0.535 	0.54 	0.693 	1.15 	3.609 	6.278 	6.456 	6.556 	6.432 	6.732 	6.935 	6.92 	7.11 	9.701 	10.512 	10.241 
A,REN_TRA,PC,EE	0.2 	0.235 	0.184 	0.168 	0.185 	0.438 	0.433 	0.445 	0.451 	0.448 	0.418 	0.413 	0.431 	0.417 	3.315 	6.243 	12.165 	11.1 	8.476 
A,REN_TRA,PC,EL	0.087 	0.059 	0.735 	1.269 	1.062 	1.102 	1.915 	0.6 	0.903 	0.98 	1.326 	1.1 	1.624 	4.001 	4.108 	4.049 	5.341 	4.412 	4.081 
A,REN_TRA,PC,ES	1.035 	1.267 	0.837 	1.375 	2.165 	3.71 	5.018 	0.767 	0.869 	0.95 	1.024 	1.088 	5.167 	5.798 	6.938 	7.61 	9.528 	9.194 	9.676 
A,REN_TRA,PC,EU27_2020	1.432 	1.819 	2.472 	2.887 	4.133 	4.891 	5.5 	4.115 	5.767 	6.07 	6.552 	6.753 	7.165 	7.471 	8.265 	8.804 	10.253 	9.076 	9.615 
A,REN_TRA,PC,FI	1.01 	0.91 	0.956 	1.025 	2.909 	4.556 	4.386 	1.004 	1.049 	10.665 	24.124 	24.567 	8.816 	18.679 	14.772 	14.845 	14.31 	20.715 	18.829 
